"","habitat","cover_number","percent_cover","region","extent","siteid","estuaryname"
"51","High",19611,0.0458771182872168,"South","Wetland Migration/All Areas (1.2 ft)","SC-CARP","Carpinteria Estuary"
"52","Low",23475,0.0549163914023974,"South","Wetland Migration/All Areas (1.2 ft)","SC-CARP","Carpinteria Estuary"
"53","Mid",59087,0.138225551386303,"South","Wetland Migration/All Areas (1.2 ft)","SC-CARP","Carpinteria Estuary"
"54","Upland",240300,0.562147342023263,"South","Wetland Migration/All Areas (1.2 ft)","SC-CARP","Carpinteria Estuary"
"55","Water",84995,0.198833596900821,"South","Wetland Migration/All Areas (1.2 ft)","SC-CARP","Carpinteria Estuary"
"56","High",13,0.0144124168514412,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-CARP","Carpinteria Estuary"
"57","Low",144,0.159645232815965,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-CARP","Carpinteria Estuary"
"58","Mid",109,0.120842572062084,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-CARP","Carpinteria Estuary"
"59","Upland",49,0.0543237250554324,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-CARP","Carpinteria Estuary"
"60","Water",587,0.650776053215078,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-CARP","Carpinteria Estuary"
"61","High",31,0.00386052303860523,"South","Current Wetland Footprint","SC-COL","Colorado Lagoon"
"62","Low",139,0.0173100871731009,"South","Current Wetland Footprint","SC-COL","Colorado Lagoon"
"63","Water",7860,0.978829389788294,"South","Current Wetland Footprint","SC-COL","Colorado Lagoon"
"64","High",13007,0.0566998400181342,"South","Wetland Migration/All Areas (1.2 ft)","SC-COL","Colorado Lagoon"
"65","Low",2674,0.0116564443921343,"South","Wetland Migration/All Areas (1.2 ft)","SC-COL","Colorado Lagoon"
"66","Upland",199251,0.868570756012398,"South","Wetland Migration/All Areas (1.2 ft)","SC-COL","Colorado Lagoon"
"67","Water",14469,0.063072959577334,"South","Wetland Migration/All Areas (1.2 ft)","SC-COL","Colorado Lagoon"
"68","High",1,0.0136986301369863,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-COL","Colorado Lagoon"
"69","Low",4,0.0547945205479452,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-COL","Colorado Lagoon"
"70","Water",68,0.931506849315068,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-COL","Colorado Lagoon"
"71","High",27160,0.379022579474727,"South","Current Wetland Footprint","SC-DEV","Devereaux Slough"
"72","Low",15513,0.216486644896592,"South","Current Wetland Footprint","SC-DEV","Devereaux Slough"
"73","Mid",15716,0.21931954561947,"South","Current Wetland Footprint","SC-DEV","Devereaux Slough"
"74","Upland",4593,0.0640961232521142,"South","Current Wetland Footprint","SC-DEV","Devereaux Slough"
"75","Water",8676,0.121075106757096,"South","Current Wetland Footprint","SC-DEV","Devereaux Slough"
"76","High",198964,0.386646430452264,"South","Wetland Migration/All Areas (1.2 ft)","SC-DEV","Devereaux Slough"
"77","Low",9715,0.0188791443268317,"South","Wetland Migration/All Areas (1.2 ft)","SC-DEV","Devereaux Slough"
"78","Mid",16353,0.0317787593594111,"South","Wetland Migration/All Areas (1.2 ft)","SC-DEV","Devereaux Slough"
"79","Upland",255760,0.497018008546627,"South","Wetland Migration/All Areas (1.2 ft)","SC-DEV","Devereaux Slough"
"80","Water",33797,0.0656776573148668,"South","Wetland Migration/All Areas (1.2 ft)","SC-DEV","Devereaux Slough"
"81","High",284,0.186719263642341,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-DEV","Devereaux Slough"
"82","Low",26,0.0170940170940171,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-DEV","Devereaux Slough"
"83","Mid",43,0.0282708744247206,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-DEV","Devereaux Slough"
"84","Upland",965,0.634451019066404,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-DEV","Devereaux Slough"
"85","Water",203,0.133464825772518,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-DEV","Devereaux Slough"
"86","High",17203,0.130116782137779,"South","Current Wetland Footprint","SC-GOL","Goleta Slough"
"87","Low",59774,0.45210722173479,"South","Current Wetland Footprint","SC-GOL","Goleta Slough"
"88","Mid",30532,0.230932139291441,"South","Current Wetland Footprint","SC-GOL","Goleta Slough"
"89","Upland",424,0.00320697062293892,"South","Current Wetland Footprint","SC-GOL","Goleta Slough"
"90","Water",24279,0.183636886213052,"South","Current Wetland Footprint","SC-GOL","Goleta Slough"
"91","High",200603,0.27257620062178,"South","Wetland Migration/All Areas (1.2 ft)","SC-GOL","Goleta Slough"
"92","Low",59024,0.0802008826662608,"South","Wetland Migration/All Areas (1.2 ft)","SC-GOL","Goleta Slough"
"93","Mid",197316,0.268109876731091,"South","Wetland Migration/All Areas (1.2 ft)","SC-GOL","Goleta Slough"
"94","Upland",148933,0.202367817466357,"South","Wetland Migration/All Areas (1.2 ft)","SC-GOL","Goleta Slough"
"95","Water",130076,0.176745222514512,"South","Wetland Migration/All Areas (1.2 ft)","SC-GOL","Goleta Slough"
"96","High",346,0.20233918128655,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-GOL","Goleta Slough"
"97","Low",258,0.150877192982456,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-GOL","Goleta Slough"
"98","Mid",178,0.104093567251462,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-GOL","Goleta Slough"
"99","Upland",206,0.12046783625731,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-GOL","Goleta Slough"
"100","Water",722,0.422222222222222,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-GOL","Goleta Slough"
"101","High",3864,0.0428125069249008,"South","Current Wetland Footprint","SC-HBW","Huntington Beach Wetlands"
"102","Low",23703,0.262625479203138,"South","Current Wetland Footprint","SC-HBW","Huntington Beach Wetlands"
"103","Mid",15862,0.175748443282292,"South","Current Wetland Footprint","SC-HBW","Huntington Beach Wetlands"
"104","Upland",697,0.00772264941166043,"South","Current Wetland Footprint","SC-HBW","Huntington Beach Wetlands"
"105","Water",46128,0.511090921178009,"South","Current Wetland Footprint","SC-HBW","Huntington Beach Wetlands"
"106","High",102381,0.110036574604993,"South","Wetland Migration/All Areas (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"107","Low",121622,0.130716327019745,"South","Wetland Migration/All Areas (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"108","Mid",307667,0.330672906095803,"South","Wetland Migration/All Areas (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"109","Upland",72018,0.0774031708022231,"South","Wetland Migration/All Areas (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"110","Water",326739,0.351171021477236,"South","Wetland Migration/All Areas (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"111","High",168,0.230452674897119,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"112","Low",20,0.0274348422496571,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"113","Mid",73,0.100137174211248,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"114","Upland",26,0.0356652949245542,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"115","Water",442,0.606310013717421,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-HBW","Huntington Beach Wetlands"
"116","High",3204,0.0606232616222966,"South","Current Wetland Footprint","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"117","Low",16967,0.321034606724565,"South","Current Wetland Footprint","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"118","Mid",16101,0.304648918658114,"South","Current Wetland Footprint","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"119","Upland",8,0.000151368942877145,"South","Current Wetland Footprint","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"120","Water",16571,0.313541844052147,"South","Current Wetland Footprint","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"121","High",246860,0.416865789344812,"South","Wetland Migration/All Areas (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"122","Low",26698,0.0450841887868743,"South","Wetland Migration/All Areas (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"123","Mid",8958,0.0151271317384381,"South","Wetland Migration/All Areas (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"124","Upland",259700,0.438548349237817,"South","Wetland Migration/All Areas (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"125","Water",49965,0.0843745408920583,"South","Wetland Migration/All Areas (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"126","High",6,0.0135135135135135,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"127","Low",150,0.337837837837838,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"128","Mid",7,0.0157657657657658,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"129","Water",281,0.632882882882883,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-KFR","Mission Bay: Kendall-Frost Reserve"
"130","High",115492,0.438399635590647,"South","Current Wetland Footprint","SC-LPL","Los Penasquitos Lagoon"
"131","Low",9654,0.0366459155784998,"South","Current Wetland Footprint","SC-LPL","Los Penasquitos Lagoon"
"132","Mid",125236,0.475387184937747,"South","Current Wetland Footprint","SC-LPL","Los Penasquitos Lagoon"
"133","Upland",180,0.000683267537200122,"South","Current Wetland Footprint","SC-LPL","Los Penasquitos Lagoon"
"134","Water",12878,0.0488839963559065,"South","Current Wetland Footprint","SC-LPL","Los Penasquitos Lagoon"
"135","High",226984,0.261911767590576,"South","Wetland Migration/All Areas (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"136","Low",51897,0.0598827891069333,"South","Wetland Migration/All Areas (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"137","Mid",117440,0.135511392811111,"South","Wetland Migration/All Areas (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"138","Upland",447456,0.516309483835905,"South","Wetland Migration/All Areas (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"139","Water",22866,0.0263845666554741,"South","Wetland Migration/All Areas (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"140","High",937,0.256642015886059,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"141","Low",395,0.10818953711312,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"142","Mid",874,0.239386469460422,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"143","Upland",1290,0.353327855382087,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"144","Water",155,0.0424541221583128,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-LPL","Los Penasquitos Lagoon"
"145","High",1878,0.0965205324561854,"South","Current Wetland Footprint","SC-MAL","Malibu Lagoon"
"146","Low",3528,0.181322917202035,"South","Current Wetland Footprint","SC-MAL","Malibu Lagoon"
"147","Mid",2807,0.144266844837334,"South","Current Wetland Footprint","SC-MAL","Malibu Lagoon"
"148","Upland",175,0.00899419232152953,"South","Current Wetland Footprint","SC-MAL","Malibu Lagoon"
"149","Water",11069,0.568895513182916,"South","Current Wetland Footprint","SC-MAL","Malibu Lagoon"
"150","High",50849,0.247809390138113,"South","Wetland Migration/All Areas (1.2 ft)","SC-MAL","Malibu Lagoon"
"151","Low",4260,0.020760840960262,"South","Wetland Migration/All Areas (1.2 ft)","SC-MAL","Malibu Lagoon"
"152","Mid",6338,0.0308878427244461,"South","Wetland Migration/All Areas (1.2 ft)","SC-MAL","Malibu Lagoon"
"153","Upland",118137,0.57573320857335,"South","Wetland Migration/All Areas (1.2 ft)","SC-MAL","Malibu Lagoon"
"154","Water",25610,0.124808717603829,"South","Wetland Migration/All Areas (1.2 ft)","SC-MAL","Malibu Lagoon"
"155","High",47,0.164912280701754,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MAL","Malibu Lagoon"
"156","Low",17,0.0596491228070175,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MAL","Malibu Lagoon"
"157","Mid",18,0.0631578947368421,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MAL","Malibu Lagoon"
"158","Upland",36,0.126315789473684,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MAL","Malibu Lagoon"
"159","Water",167,0.585964912280702,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MAL","Malibu Lagoon"
"160","High",94050,0.0737714755001047,"South","Current Wetland Footprint","SC-MUGU","Point Mugu"
"161","Low",917695,0.719826839011894,"South","Current Wetland Footprint","SC-MUGU","Point Mugu"
"162","Mid",170372,0.133637361232364,"South","Current Wetland Footprint","SC-MUGU","Point Mugu"
"163","Upland",4110,0.00322382524514014,"South","Current Wetland Footprint","SC-MUGU","Point Mugu"
"164","Water",88656,0.0695404990104974,"South","Current Wetland Footprint","SC-MUGU","Point Mugu"
"165","High",724407,0.220536418296674,"South","Wetland Migration/All Areas (1.2 ft)","SC-MUGU","Point Mugu"
"166","Low",1326816,0.403932110510693,"South","Wetland Migration/All Areas (1.2 ft)","SC-MUGU","Point Mugu"
"167","Mid",616760,0.187764670066215,"South","Wetland Migration/All Areas (1.2 ft)","SC-MUGU","Point Mugu"
"168","Upland",288899,0.0879515944896872,"South","Wetland Migration/All Areas (1.2 ft)","SC-MUGU","Point Mugu"
"169","Water",327868,0.0998152066367303,"South","Wetland Migration/All Areas (1.2 ft)","SC-MUGU","Point Mugu"
"170","High",1773,0.112987509559011,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MUGU","Point Mugu"
"171","Low",7610,0.484960489421361,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MUGU","Point Mugu"
"172","Mid",1851,0.117958195258731,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MUGU","Point Mugu"
"173","Upland",1996,0.12719857252103,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MUGU","Point Mugu"
"174","Water",2462,0.156895233239867,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-MUGU","Point Mugu"
"175","High",20788,0.0440269820931242,"South","Current Wetland Footprint","SC-NEW","Newport Bay"
"176","Low",210833,0.446523990554149,"South","Current Wetland Footprint","SC-NEW","Newport Bay"
"177","Mid",59429,0.125864898923046,"South","Current Wetland Footprint","SC-NEW","Newport Bay"
"178","Upland",4091,0.00866434403227685,"South","Current Wetland Footprint","SC-NEW","Newport Bay"
"179","Water",177024,0.374919784397403,"South","Current Wetland Footprint","SC-NEW","Newport Bay"
"180","High",104941,0.0607248958127187,"South","Wetland Migration/All Areas (1.2 ft)","SC-NEW","Newport Bay"
"181","Low",238513,0.138017334263815,"South","Wetland Migration/All Areas (1.2 ft)","SC-NEW","Newport Bay"
"182","Mid",35027,0.0202686359538416,"South","Wetland Migration/All Areas (1.2 ft)","SC-NEW","Newport Bay"
"183","Upland",1131628,0.654825019761153,"South","Wetland Migration/All Areas (1.2 ft)","SC-NEW","Newport Bay"
"184","Water",218029,0.126164114208472,"South","Wetland Migration/All Areas (1.2 ft)","SC-NEW","Newport Bay"
"185","High",118,0.0321175830157866,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-NEW","Newport Bay"
"186","Low",1702,0.463255307566685,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-NEW","Newport Bay"
"187","Mid",144,0.0391943385955362,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-NEW","Newport Bay"
"188","Upland",234,0.0636908002177463,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-NEW","Newport Bay"
"189","Water",1476,0.401741970604246,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-NEW","Newport Bay"
"190","High",151233,0.425766183748965,"South","Current Wetland Footprint","SC-SDL","San Dieguito Lagoon"
"191","Low",54124,0.152375268157274,"South","Current Wetland Footprint","SC-SDL","San Dieguito Lagoon"
"192","Mid",65757,0.185125646815052,"South","Current Wetland Footprint","SC-SDL","San Dieguito Lagoon"
"193","Upland",4206,0.0118411495430769,"South","Current Wetland Footprint","SC-SDL","San Dieguito Lagoon"
"194","Water",79882,0.224891751735632,"South","Current Wetland Footprint","SC-SDL","San Dieguito Lagoon"
"195","High",523035,0.471192090268237,"South","Wetland Migration/All Areas (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"196","Low",63215,0.0569491678115358,"South","Wetland Migration/All Areas (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"197","Mid",119288,0.107464246300759,"South","Wetland Migration/All Areas (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"198","Upland",301410,0.27153442490034,"South","Wetland Migration/All Areas (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"199","Water",103077,0.0928600707191279,"South","Wetland Migration/All Areas (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"200","High",868,0.318766066838046,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"201","Low",311,0.114212265883217,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"202","Mid",297,0.10907087770841,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"203","Upland",554,0.203452074917371,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"204","Water",693,0.254498714652956,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SDL","San Dieguito Lagoon"
"205","High",12651,0.0209836141708644,"South","Current Wetland Footprint","SC-SEAL","Seal Beach"
"206","Low",89561,0.14855058641663,"South","Current Wetland Footprint","SC-SEAL","Seal Beach"
"207","Mid",342578,0.568217893876089,"South","Current Wetland Footprint","SC-SEAL","Seal Beach"
"208","Upland",249,0.000413004499924531,"South","Current Wetland Footprint","SC-SEAL","Seal Beach"
"209","Water",157860,0.261834901036492,"South","Current Wetland Footprint","SC-SEAL","Seal Beach"
"210","High",491271,0.349597864003883,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEAL","Seal Beach"
"211","Low",92156,0.0655799767442853,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEAL","Seal Beach"
"212","Mid",481217,0.342443244812652,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEAL","Seal Beach"
"213","Upland",95831,0.0681951772145233,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEAL","Seal Beach"
"214","Water",244771,0.174183737224657,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEAL","Seal Beach"
"215","High",959,0.154552780016116,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEAL","Seal Beach"
"216","Low",592,0.0954069298952458,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEAL","Seal Beach"
"217","Mid",2993,0.482352941176471,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEAL","Seal Beach"
"218","Upland",53,0.00854149879129734,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEAL","Seal Beach"
"219","Water",1608,0.25914585012087,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEAL","Seal Beach"
"220","High",78488,0.272614863081262,"South","Current Wetland Footprint","SC-SEL","San Elijo Lagoon"
"221","Low",144843,0.503087791933534,"South","Current Wetland Footprint","SC-SEL","San Elijo Lagoon"
"222","Mid",33161,0.115179154452117,"South","Current Wetland Footprint","SC-SEL","San Elijo Lagoon"
"223","Upland",17416,0.0604915459104992,"South","Current Wetland Footprint","SC-SEL","San Elijo Lagoon"
"224","Water",14000,0.0486266446225878,"South","Current Wetland Footprint","SC-SEL","San Elijo Lagoon"
"225","High",77277,0.0729806992177503,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEL","San Elijo Lagoon"
"226","Low",154609,0.146013340649315,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEL","San Elijo Lagoon"
"227","Mid",41354,0.0390548783655013,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEL","San Elijo Lagoon"
"228","Upland",742964,0.701658089905361,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEL","San Elijo Lagoon"
"229","Water",42665,0.0402929918620717,"South","Wetland Migration/All Areas (1.2 ft)","SC-SEL","San Elijo Lagoon"
"230","High",504,0.137367130008177,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEL","San Elijo Lagoon"
"231","Low",1059,0.2886345053148,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEL","San Elijo Lagoon"
"232","Mid",284,0.07740528754429,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEL","San Elijo Lagoon"
"233","Upland",1591,0.433633142545653,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEL","San Elijo Lagoon"
"234","Water",231,0.0629599345870809,"South","Wetland Migration/Avoid Developed (1.2 ft)","SC-SEL","San Elijo Lagoon"
"235","High",1715,0.0136503287222019,"South","Current Wetland Footprint","SC-SSP","San Diego Bay: South salt ponds"
"236","Low",60287,0.4798468616183,"South","Current Wetland Footprint","SC-SSP","San Diego Bay: South salt ponds"
"237","Mid",18358,0.146118212642672,"South","Current Wetland Footprint","SC-SSP","San Diego Bay: South salt ponds"
"238","Upland",299,0.00237985322911858,"South","Current Wetland Footprint","SC-SSP","San Diego Bay: South salt ponds"
"239","Water",44979,0.358004743787708,"South","Current Wetland Footprint","SC-SSP","San Diego Bay: South salt ponds"
"240","High",35898,0.0773989068681881,"South","Wetland Migration/All Areas (1.2 ft)","SC-SSP","San Diego Bay: South salt ponds"
"241","Low",109342,0.235749938012742,"South","Wetland Migration/All Areas (1.2 ft)","SC-SSP","San Diego Bay: South salt ponds"
"242","Mid",58397,0.125908517588211,"South","Wetland Migration/All Areas (1.2 ft)","SC-SSP","San Diego Bay: South salt ponds"
